wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace,is_high_obesity
E05000195,Chase,4,10.0,0.0,0.0,True
E05000197,Edmonton Green,4,10.0,0.0,0.0,True
E05000198,Enfield Highway,4,10.0,0.0,0.0,True
E05000199,Enfield Lock,4,10.0,0.0,0.0,True
E05000201,Haselbury,4,10.0,0.0,0.0,True
E05000204,Lower Edmonton,4,0.0,10.0,0.0,True
E05000206,Ponders End,4,10.0,0.0,0.0,True
E05000211,Turkey Street,4,0.0,10.0,0.0,True
E05000212,Upper Edmonton,4,0.0,10.0,0.0,True
E05000216,Charlton,4,10.0,0.0,0.0,True
E05000217,Coldharbour and New Eltham,4,0.0,10.0,0.0,True
E05000221,Glyndon,4,10.0,0.0,0.0,True
E05000222,Greenwich West,4,10.0,0.0,0.0,True
E05000224,Middle Park and Sutcliffe,4,10.0,0.0,0.0,True
E05000226,Plumstead,4,10.0,0.0,0.0,True
E05000227,Shooters Hill,4,10.0,0.0,0.0,True
E05000228,Thamesmead Moorings,4,10.0,0.0,0.0,True
E05000229,Woolwich Common,4,10.0,0.0,0.0,True
E05000230,Woolwich Riverside,4,10.0,0.0,0.0,True
E05000255,Fulham Reach,4,10.0,0.0,0.0,True
E05000258,North End,4,0.0,10.0,0.0,True
E05000267,Bounds Green,4,10.0,0.0,0.0,True
E05000268,Bruce Grove,4,10.0,0.0,0.0,True
E05000273,Hornsey,4,0.0,0.0,0.0,True
E05000275,Noel Park,4,10.0,0.0,0.0,True
E05000276,Northumberland Park,4,0.0,10.0,0.0,True
E05000277,St Ann's,4,10.0,0.0,0.0,True
E05000278,Seven Sisters,4,10.0,0.0,0.0,True
E05000279,Stroud Green,4,0.0,0.0,0.0,True
E05000280,Tottenham Green,4,10.0,0.0,0.0,True
E05000281,Tottenham Hale,4,10.0,0.0,0.0,True
E05000283,White Hart Lane,4,10.0,0.0,0.0,True
E05000301,Roxbourne,4,0.0,0.0,0.0,True
E05000303,Stanmore Park,4,0.0,0.0,0.0,True
E05000304,Wealdstone,4,10.0,0.0,0.0,True
E05000306,Brooklands,4,0.0,0.0,0.0,True
E05000308,Elm Park,4,10.0,0.0,0.0,True
E05000310,Gooshays,4,0.0,10.0,0.0,True
E05000313,Havering Park,4,0.0,0.0,0.0,True
E05000314,Heaton,4,10.0,0.0,0.0,True
E05000316,Mawneys,4,0.0,0.0,0.0,True
E05000318,Rainham and Wennington,4,10.0,0.0,0.0,True
E05000321,South Hornchurch,4,10.0,0.0,0.0,True
E05000341,Uxbridge South,4,10.0,0.0,0.0,True
E05000345,Yiewsley,4,10.0,0.0,0.0,True
E05000346,Bedfont,4,10.0,0.0,0.0,True
E05000347,Brentford,4,0.0,0.0,0.0,True
E05000352,Feltham West,4,10.0,0.0,0.0,True
E05000362,Isleworth,4,0.0,0.0,0.0,True
E05000364,Syon,4,0.0,0.0,0.0,True
E05000366,Barnsbury,4,10.0,0.0,0.0,True
E05000367,Bunhill,4,10.0,0.0,0.0,True
E05000368,Caledonian,4,10.0,0.0,0.0,True
E05000369,Canonbury,4,10.0,0.0,0.0,True
E05000370,Clerkenwell,4,10.0,0.0,0.0,True
E05000371,Finsbury Park,4,10.0,0.0,0.0,True
E05000372,Highbury East,4,0.0,0.0,0.0,True
E05000373,Highbury West,4,0.0,0.0,0.0,True
E05000374,Hillrise,4,0.0,0.0,0.0,True
E05000375,Holloway,4,10.0,0.0,0.0,True
E05000376,Junction,4,0.0,0.0,0.0,True
E05000377,Mildmay,4,0.0,10.0,0.0,True
E05000378,St George's,4,0.0,0.0,0.0,True
E05000379,St Mary's,4,0.0,0.0,0.0,True
E05000380,St Peter's,4,0.0,0.0,0.0,True
E05000381,Tollington,4,0.0,0.0,0.0,True
E05000416,Bishop's,4,10.0,0.0,0.0,True
