WD13CD,Ward name,Borough name,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage of households with access to:
E05000133,Frognal and Fitzjohns,Camden,44.2,12.7,5.7,100.0,0.0,
E05000134,Gospel Oak,Camden,87.1,28.5,4.6,100.0,0.0,
E05000135,Hampstead Town,Camden,53.7,28.7,4.4,100.0,0.0,
E05000136,Haverstock,Camden,72.2,3.7,33.5,100.0,0.0,
E05000137,Highgate,Camden,53.1,56.7,5.6,100.0,0.0,
E05000138,Holborn and Covent Garden,Camden,67.1,57.5,4.0,32.8,0.0,
E05000139,Kentish Town,Camden,64.7,58.8,0.0,100.0,0.0,
E05000140,Kilburn,Camden,56.4,51.1,1.6,57.0,0.0,
E05000141,King's Cross,Camden,95.9,59.9,0.0,71.5,0.0,
E05000142,Regent's Park,Camden,47.5,69.6,17.7,100.0,0.0,
E05000143,St. Pancras and Somers Town,Camden,83.5,61.1,0.0,96.4,0.0,
E05000144,Swiss Cottage,Camden,21.4,48.0,31.5,93.2,0.0,
E05000145,West Hampstead,Camden,18.1,79.6,0.0,83.0,0.0,
E09000001,City of London,City of London,97.6,88.8,0.0,0.0,0.0,
E05000146,Addiscombe,Croydon,0.0,4.3,15.4,0.0,0.0,
E05000147,Ashburton,Croydon,3.6,68.6,99.4,0.0,0.0,
E05000148,Bensham Manor,Croydon,2.8,38.6,0.0,44.6,0.0,
E05000149,Broad Green,Croydon,11.5,18.0,0.0,65.5,0.0,
E05000150,Coulsdon East,Croydon,33.2,36.3,44.4,100.0,0.0,
E05000151,Coulsdon West,Croydon,2.3,5.6,1.7,97.0,0.0,
E05000152,Croham,Croydon,8.2,33.1,87.0,42.3,0.0,
E05000153,Fairfield,Croydon,21.4,24.2,37.2,7.0,0.0,
E05000154,Fieldway,Croydon,47.3,44.0,3.3,0.0,0.0,
E05000155,Heathfield,Croydon,18.7,38.0,60.0,72.6,0.0,
E05000156,Kenley,Croydon,35.6,41.4,55.7,30.5,0.0,
E05000157,New Addington,Croydon,17.1,76.3,75.7,0.0,0.0,
E05000158,Norbury,Croydon,14.3,61.2,25.9,77.7,0.0,
E05000159,Purley,Croydon,14.2,8.0,61.9,96.9,0.0,
E05000160,Sanderstead,Croydon,28.8,33.9,64.0,9.6,0.0,
E05000161,Selhurst,Croydon,18.9,35.6,0.0,9.2,0.0,
E05000162,Selsdon and Ballards,Croydon,6.9,30.5,84.3,82.2,0.0,
E05000163,Shirley,Croydon,3.5,66.1,16.5,0.0,0.0,
E05000164,South Norwood,Croydon,8.8,60.2,23.9,55.8,0.0,
E05000165,Thornton Heath,Croydon,21.2,39.4,0.0,27.9,0.0,
E05000166,Upper Norwood,Croydon,39.4,68.3,13.2,72.1,0.0,
E05000167,Waddon,Croydon,18.0,57.0,57.4,97.2,0.0,
E05000168,West Thornton,Croydon,30.8,2.2,0.0,97.5,0.0,
E05000169,Woodside,Croydon,33.7,26.9,80.6,0.0,0.0,
E05000170,Acton Central,Ealing,19.1,73.0,0.0,94.1,0.0,
E05000171,Cleveland,Ealing,45.1,43.3,91.4,9.1,0.0,
E05000172,Dormers Wells,Ealing,52.6,84.5,38.0,54.3,0.0,
E05000173,Ealing Broadway,Ealing,33.5,14.1,92.3,16.6,0.0,
E05000174,Ealing Common,Ealing,23.7,74.4,60.8,100.0,0.0,
E05000175,East Acton,Ealing,53.4,56.3,4.2,98.6,0.0,
E05000176,Elthorne,Ealing,79.8,27.4,89.9,0.0,0.0,
E05000177,Greenford Broadway,Ealing,56.8,43.1,28.1,100.0,0.0,
E05000178,Greenford Green,Ealing,32.6,62.9,39.0,100.0,0.0,
E05000179,Hanger Hill,Ealing,26.9,50.7,25.8,12.0,0.0,
E05000180,Hobbayne,Ealing,49.9,57.3,88.7,20.2,0.0,
E05000181,Lady Margaret,Ealing,21.2,83.7,12.2,93.8,0.0,
