Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Blue Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Green Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
30005231,Cycling,Mountain Bike - Trails,30009729,,Yes,,,,,,,,,,,,,,,,,,,,,No,0,Yes,10,No,0,Yes,1,Yes,13,24,Operational,24000 - Is the correct length of track.,,,,Pay and Play,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1999,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,5/9/2024 12:29:15 PM,Yes,487669,166097,51.38716,-0.7414839,61,2/23/2017 3:53:54 PM,487669,166097
1203675,Cycling,BMX - Pump Track,30009742,No,,,No,,,,Various,No,,,,,,,,6,60,,,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,2017,No,No,,Yes,No,,Detailed Timings,All Year,,,,6/12/2024 9:53:14 AM,Yes,499207,207052,51.75339,-0.5641684,62,2/23/2017 4:45:28 PM,499207,207052
30005245,Cycling,BMX - Race Track,30009746,Yes,,,Yes,8,4,6,Concrete,No,5,8,40,9,,,,4.6,360,5,,18,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,2005,No,Yes,2018,No,No,,Dawn To Dusk,All Year,,,,2/15/2024 11:49:38 AM,Yes,458707,99950,50.79615,-1.168372,63,2/24/2017 9:37:22 AM,458707,99950
30005246,Cycling,Mountain Bike - Trails,30009747,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,Yes,25.7,No,0,25.7,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Detailed Timings,All Year,,,,12/6/2023 4:43:06 PM,Yes,635318,248440,52.08428,1.43324,64,2/24/2017 9:47:37 AM,635318,248440
30005247,Cycling,BMX - Race Track,30009748,No,,,No,8,4,3,Concrete,No,1.5,8,47,7,,,,5,400,4,,30,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2004,No,Yes,2009,No,No,,Dawn To Dusk,All Year,,,,8/27/2024 9:58:47 AM,Yes,363448,365231,53.18293,-2.548399,65,2/24/2017 9:47:46 AM,363448,365231
30005248,Cycling,BMX - Race Track,30009749,No,,,Yes,8,4,3,Concrete,Yes,10,8,50,8,,,,6,300,7,,41,6,,,,,,,,,,,,Operational,"2nd, 3rd, 4th straights refurbished for a more technical track. Drainage installed along straights. Sqorz timing installed (Electronic)",,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1984,No,Yes,2018,No,No,,Dawn To Dusk,All Year,,,,2/12/2024 2:11:21 PM,Yes,292985,89960,50.6994,-3.516685,66,2/24/2017 9:58:31 AM,292985,89960
30005250,Cycling,BMX - Race Track,30009751,No,,,Yes,8,4,4,Concrete,No,10,8,62,7,,,,6,340,6,,55,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1990,Yes,Yes,2018,No,No,,Dawn To Dusk,All Year,,,,1/11/2024 12:29:32 PM,Yes,172928,46646,50.276,-5.188306,67,2/24/2017 10:08:27 AM,172928,46646
30005251,Cycling,BMX - Race Track,30009752,Yes,,,Yes,8,4,3,Macadam,Yes,5,10,59,9,,,,5,300,5,,46,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,2000,Yes,Yes,2009,No,No,,Detailed Timings,All Year,,,,4/15/2024 11:20:32 AM,Yes,369260,355601,53.09674,-2.460506,68,2/24/2017 10:12:46 AM,369260,355601
30005252,Cycling,BMX - Race Track,30009753,No,,,No,8,4,3,Various,No,7,8.5,75,7,,,,6,350,7,,64,6,,,,,,,,,,,,Operational,Mix of macadam and mendip surface,,,,Free Public Access,Public Access,Sport Club,Others,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,1999,No,Yes,2012,No,No,,Dawn To Dusk,All Year,,,,4/15/2024 11:35:59 AM,Yes,434138,146886,51.22016,-1.51255,69,2/24/2017 10:39:17 AM,434138,146886
30005253,Cycling,BMX - Race Track,30009755,No,,,Yes,8,4,3,Various,No,2,10,39,10,,,,6,400,5,,34,6,,,,,,,,,,,,Operational,,,,,Pay and Play,Public Access,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2000,Yes,No,,Yes,No,,Detailed Timings,All Year,,,,11/21/2023 11:34:58 AM,Yes,405997,517603,54.55365,-1.908802,70,2/24/2017 10:47:43 AM,405997,517603
